Test Rank,Model,Pipeline,Test F2-macro,Test F1-weighted,Precision,Recall
1,HistGB,Tree,0.9388033501392736,0.9392298152848578,0.9395142851949162,0.9385195237307044
2,LightGBM,Tree,0.9385536961341427,0.9483187794439176,0.9549303350410408,0.9320853509177119
3,XGBoost,Tree,0.9294476571855812,0.940044542687115,0.9472314562235948,0.9225799988226068
4,DecisionTree,Tree,0.9270878863485982,0.937161953192348,0.9440121731631481,0.9205161397839217
5,RandomForest,Tree,0.9160415740672464,0.9234083744517804,0.9284042856525164,0.9112001557994382
6,XGBRF,Tree,0.8983583143325616,0.9164479976017702,0.9288599401784948,0.8867375685718366
7,SVM,Linear,0.796385862684577,0.8330432453525569,0.8592186859344405,0.773539868779815
8,Ridge,Linear,0.6237766793524714,0.6638535033560958,0.6934417124965824,0.5996075932822452
9,LinearRegression,Linear,0.6100580522842872,0.6552893232566247,0.6891000627581566,0.5835697621008035
10,Huber,Linear,0.6098354702596462,0.6520911704988974,0.6833777558661642,0.5843486001096338
11,Lasso,Linear,0.5820158897699308,0.6427295072073972,0.6904675510698114,0.5484803572846875